engine,direction,entry_time,exit_time,entry,exit,ret,mfe,mae,setup,reason,days,gemma_asked,gemma_decision
trend,long,2020-11-27 23:59:59.999000+00:00,2021-05-19 23:59:59.999000+00:00,17152.672049999997,36670.79543,1.1359057049015289,2.7886872558727673,-0.016725793460267237,trend,ma200_break,173,False,
swing,long,2021-05-20 23:59:59.999000+00:00,2021-05-23 23:59:59.999000+00:00,40520.55015,32316.858364285716,-0.20445756178891086,0.04318475054070793,-0.23256964960037693,bull_pullback_long,atr_stop,3,False,
swing,short,2021-07-26 23:59:59.999000+00:00,2021-07-28 23:59:59.999000+00:00,37199.480955,40752.029526428574,-0.09749995000537973,0.021913503470279844,-0.09931641383569947,bear_rally_short,atr_stop,2,False,
swing,short,2021-07-28 23:59:59.999000+00:00,2021-08-05 23:59:59.999000+00:00,39983.078460000004,39983.078460000004,-0.002,0.0673304448704024,-0.06582538517220514,bear_rally_short,atr_stop,8,False,
swing,short,2021-08-05 23:59:59.999000+00:00,2021-08-09 23:59:59.999000+00:00,40861.9588,45504.664514285716,-0.11561926473005292,0.024769708298957038,-0.13756171669381645,bear_rally_short,atr_stop,4,False,
trend,long,2021-08-09 23:59:59.999000+00:00,2021-08-12 23:59:59.999000+00:00,46282.829849999995,44362.897455,-0.04348260599497454,0.011174125516441502,-0.05364472868333039,trend,ma200_break,3,False,
swing,short,2021-08-12 23:59:59.999000+00:00,2021-08-13 23:59:59.999000+00:00,44362.897455,47816.41625999999,-0.07984700736698067,0.003471762753012929,-0.08154996072269068,bear_rally_short,trend_preempt,1,False,
trend,long,2021-08-13 23:59:59.999000+00:00,2021-08-17 23:59:59.999000+00:00,47816.41625999999,44682.48758,-0.06754085239176791,0.010113341354787872,-0.07119743649312102,trend,ma200_break,4,False,
swing,short,2021-08-17 23:59:59.999000+00:00,2021-08-19 23:59:59.999000+00:00,44682.48758,46795.386,-0.04928694695471111,0.01665322636005315,-0.05410424868740039,bear_rally_short,trend_preempt,2,False,
trend,long,2021-08-19 23:59:59.999000+00:00,2021-09-10 23:59:59.999000+00:00,46795.386,44838.39958500001,-0.04382007206864352,0.1315218128556521,-0.10059508858416082,trend,ma200_break,22,False,
trend,long,2021-09-12 23:59:59.999000+00:00,2021-09-13 23:59:59.999000+00:00,46069.753365000004,44953.47202,-0.026230243564708586,0.018757136122558343,-0.059601434009109625,trend,ma200_break,1,False,
trend,long,2021-09-14 23:59:59.999000+00:00,2021-09-20 23:59:59.999000+00:00,47110.723589999994,43005.0867,-0.08914866971118825,0.036918906725711916,-0.09855216044666136,trend,ma200_break,6,False,
trend,long,2021-10-01 23:59:59.999000+00:00,2021-12-13 23:59:59.999000+00:00,48148.00197,46656.590035,-0.0329755726920769,0.4372081326057153,-0.150766629413262,trend,ma200_break,73,False,
swing,long,2021-12-14 23:59:59.999000+00:00,2021-12-24 23:59:59.999000+00:00,48348.20202,50783.145725,0.04836265265857771,0.07149796343140215,-0.06153469820386087,bull_pullback_long,rsi_flip,10,False,
swing,short,2022-02-04 23:59:59.999000+00:00,2022-02-08 23:59:59.999000+00:00,41529.225000000006,44933.67857142858,-0.08397729602294705,0.014669789768530613,-0.09802193515530314,bear_rally_short,atr_stop,4,False,
swing,short,2022-02-08 23:59:59.999000+00:00,2022-02-15 23:59:59.999000+00:00,43999.559215,43999.559215,-0.002,0.05621781806752132,-0.04199907494459655,bear_rally_short,atr_stop,7,False,
swing,short,2022-02-15 23:59:59.999000+00:00,2022-02-17 23:59:59.999000+00:00,44507.3352,42104.885714285716,0.051978731256736424,0.1008201272854458,-0.0006620212121799095,bear_rally_short,atr_stop,2,False,
swing,short,2022-03-09 23:59:59.999000+00:00,2022-03-10 23:59:59.999000+00:00,41916.53125,41916.53125,-0.002,0.08122168386726895,-0.002809601522072581,bear_rally_short,atr_stop,1,False,
swing,short,2022-03-22 23:59:59.999000+00:00,2022-03-27 23:59:59.999000+00:00,42328.625100000005,45447.60724285715,-0.07568493863168603,0.01411161119901345,-0.1114700722939379,bear_rally_short,atr_stop,5,False,
swing,short,2022-03-27 23:59:59.999000+00:00,2022-04-02 23:59:59.999000+00:00,46797.3896,46797.3896,-0.002,0.0553703875824733,-0.029971979462717676,bear_rally_short,atr_stop,6,False,
swing,short,2022-04-02 23:59:59.999000+00:00,2022-04-08 23:59:59.999000+00:00,45771.7027,43755.6,0.04204692377764664,0.08078577990064593,-0.03662300506902485,bear_rally_short,atr_stop,6,False,
swing,short,2022-06-06 23:59:59.999000+00:00,2022-06-07 23:59:59.999000+00:00,31345.5194,31345.5194,-0.002,0.06876642790612049,-0.0080866613427372,bear_rally_short,atr_stop,1,False,
swing,short,2022-07-15 23:59:59.999000+00:00,2022-07-18 23:59:59.999000+00:00,20812.68845,22436.26702142857,-0.08000907486454832,0.016417314409950794,-0.0954855762519233,bear_rally_short,atr_stop,3,False,
swing,short,2022-07-18 23:59:59.999000+00:00,2022-07-20 23:59:59.999000+00:00,22412.688050000004,24187.413050000003,-0.08118394241872287,0.0373756172455184,-0.08318109571868133,bear_rally_short,atr_stop,2,False,
swing,short,2022-07-20 23:59:59.999000+00:00,2022-07-28 23:59:59.999000+00:00,23209.88925,23209.88925,-0.002,0.1085868710037038,-0.04242634419291761,bear_rally_short,atr_stop,8,False,
swing,short,2022-07-28 23:59:59.999000+00:00,2022-08-08 23:59:59.999000+00:00,23824.2819,23824.2819,-0.002,0.06104200353673626,-0.03675737651509228,bear_rally_short,atr_stop,11,False,
swing,short,2022-08-08 23:59:59.999000+00:00,2022-08-10 23:59:59.999000+00:00,23792.4978,23792.4978,-0.002,0.04978450812339682,-0.018606797979823696,bear_rally_short,atr_stop,2,False,
swing,short,2022-08-14 23:59:59.999000+00:00,2022-08-17 23:59:59.999000+00:00,24281.95295,24281.95295,-0.002,0.045793390354131255,-0.03780779296831646,bear_rally_short,atr_stop,3,False,
swing,short,2022-09-10 23:59:59.999000+00:00,2022-09-13 23:59:59.999000+00:00,21628.68025,20698.485714285714,0.04100745699517596,0.08269946336647152,-0.056467603935288595,bear_rally_short,atr_stop,3,False,
swing,short,2022-10-04 23:59:59.999000+00:00,2022-10-13 23:59:59.999000+00:00,20322.8335,18873.092857142856,0.06933555676953929,0.11834144584218541,-0.005957166356748473,bear_rally_short,atr_stop,9,False,
swing,short,2022-10-25 23:59:59.999000+00:00,2022-10-26 23:59:59.999000+00:00,20058.26585,20954.740850000002,-0.04669354463162638,0.0008557993062995138,-0.04844557138023974,bear_rally_short,atr_stop,1,False,
swing,short,2022-10-26 23:59:59.999000+00:00,2022-10-29 23:59:59.999000+00:00,20747.92085,20747.92085,-0.002,0.038409672745594585,-0.016390999004606353,bear_rally_short,atr_stop,3,False,
swing,short,2022-10-29 23:59:59.999000+00:00,2022-11-02 23:59:59.999000+00:00,20786.30165,20786.30165,-0.002,0.03542244610887773,-0.006682206019077928,bear_rally_short,atr_stop,4,False,
swing,short,2022-11-02 23:59:59.999000+00:00,2022-11-04 23:59:59.999000+00:00,20130.02995,21060.962092857142,-0.048245939284215625,0.005167898421333451,-0.0579716002856717,bear_rally_short,atr_stop,2,False,
swing,short,2022-11-04 23:59:59.999000+00:00,2022-11-08 23:59:59.999000+00:00,21127.0312,17478.607142857145,0.1706898598579651,0.20339020467769275,-0.016408779668011256,bear_rally_short,atr_stop,4,False,
